TS,TEMP,WIND
2020-05-12,49.9,3.2
2020-05-13,54.5,4.9
2020-05-14,61,6.6
2020-05-15,68,6.7
2020-05-16,60.5,4.1
2020-05-17,66.6,4.7
2020-05-18,62.6,7.3
2020-05-19,55.7,5.3
2020-05-20,62.7,9.3
2020-05-21,63.9,4.5
2020-05-22,60.8,4.4
2020-05-23,65.5,9.2
2020-05-24,67.7,7.2
2020-05-25,70.5,5.8
2020-05-26,74.4,5
2020-05-27,65.2,4.6
2020-05-28,59.7,6.7
2020-05-29,72.7,5.4
2020-05-30,73.5,6.9
2020-05-31,70.8,10.3
2020-06-01,74.1,7.6
2020-06-02,72.1,7.5
2020-06-03,67.4,6.2
2020-06-04,58,6.4
2020-06-05,56.8,6.1
2020-06-06,59.7,3
2020-06-07,62.5,3.8
2020-06-08,68.9,5.9
2020-06-09,68.2,4.3
2020-06-10,66.7,4.1
2020-06-11,66.6,5.6
2020-06-12,68.2,8.2
2020-06-13,67.6,8.5
2020-06-14,67.5,10.2
2020-06-15,63.3,6.8
2020-06-16,67.7,2.8
2020-06-17,72.5,2.5
2020-06-18,79.6,8.3
2020-06-19,76.1,8
2020-06-20,68.3,3
2020-06-21,68.3,4.6
2020-06-22,66.9,5.2
2020-06-23,65.4,4.9
2020-06-24,66.4,5.2
2020-06-25,68.3,7.7
2020-06-26,65.2,2.5
2020-06-27,68.5,8.9
2020-06-28,70.9,7.3
2020-06-29,76.8,7.5
2020-06-30,79.5,5.4
2020-07-01,85.2,3
2020-07-02,88,7
2020-07-03,83.6,5.2
2020-07-04,83.1,2.5
2020-07-05,81.8,6.2
2020-07-06,80,9.9
2020-07-07,67,3.9
2020-07-08,71.3,1.2
2020-07-09,76.3,3.6
2020-07-10,76.9,4
2020-07-11,75.1,6.2
2020-07-12,71.7,3.3
2020-07-13,76.2,3.2
2020-07-14,78,5.2
2020-07-15,80.4,4.9
2020-07-16,81.9,3
2020-07-17,77.3,4.8
2020-07-18,72.6,7.4
2020-07-19,69.5,2.8
2020-07-20,72.8,3
2020-07-21,75.3,6.1
2020-07-22,74.2,7.3
2020-07-23,77.7,5.1
2020-07-24,80.9,9.9
2020-07-25,78.2,9.2
2020-07-26,76.2,5.7
2020-07-27,75.7,4.6
2020-07-28,72.7,5.7
2020-07-29,72.3,5.1
2020-07-30,70.9,2.6
2020-07-31,75.3,3.2
2020-08-01,74.4,5.9
2020-08-02,78.1,5.1
2020-08-03,74.4,3.1
2020-08-04,75.7,5.3
2020-08-05,75,1.9
2020-08-06,80.3,3.5
2020-08-07,79,4.4
2020-08-08,75.9,3.2
2020-08-09,76.8,6.7
2020-08-10,73.7,4.4
2020-08-11,69.3,2
2020-08-12,71.8,4.3
2020-08-13,73.1,3.6
2020-08-14,75.5,6.5
